DNI;PLAZOMESESCREDITO;HISTORIALCREDITO;PROPOSITOCREDITO;MONTOCREDITO;SALDOCUENTAAHORROS;TIEMPOEMPLEO;TASAPAGO;ESTADOCIVILYSEXO;GARANTE;AVALUOVIVIENDA;ACTIVOS;EDAD;VIVIENDA;CANTIDADCREDITOSEXISTENTES;EMPLEO;TRABAJADOREXTRANJERO;TIPOCLIENTE
0104600001;6;A34;A43;1169;A65;A75;4;A93;A101;4;A121;67;A152;2;A173;A201;1
0104600002;48;A32;A43;5951;A61;A73;2;A92;A101;2;A121;22;A152;1;A173;A201;2
0104600003;12;A34;A46;2096;A61;A74;2;A93;A101;3;A121;49;A152;1;A172;A201;1
0104600004;42;A32;A42;7882;A61;A74;2;A93;A103;4;A122;45;A153;1;A173;A201;1
0104600005;24;A33;A40;4870;A61;A73;3;A93;A101;4;A124;53;A153;2;A173;A201;2
0104600006;36;A32;A46;9055;A65;A73;2;A93;A101;4;A124;35;A153;1;A172;A201;1
0104600007;24;A32;A42;2835;A63;A75;3;A93;A101;4;A122;53;A152;1;A173;A201;1
0104600008;36;A32;A41;6948;A61;A73;2;A93;A101;2;A123;35;A151;1;A174;A201;1
0104600009;12;A32;A43;3059;A64;A74;2;A91;A101;4;A121;61;A152;1;A172;A201;1
0104600010;30;A34;A40;5234;A61;A71;4;A94;A101;2;A123;28;A152;2;A174;A201;2
0104600011;12;A32;A40;1295;A61;A72;3;A92;A101;1;A123;25;A151;1;A173;A201;2
0104600012;48;A32;A49;4308;A61;A72;3;A92;A101;4;A122;24;A151;1;A173;A201;2
0104600013;12;A32;A43;1567;A61;A73;1;A92;A101;1;A123;22;A152;1;A173;A201;1
0104600014;24;A34;A40;1199;A61;A75;4;A93;A101;4;A123;60;A152;2;A172;A201;2
0104600015;15;A32;A40;1403;A61;A73;2;A92;A101;4;A123;28;A151;1;A173;A201;1
0104600016;24;A32;A43;1282;A62;A73;4;A92;A101;2;A123;32;A152;1;A172;A201;2
0104600017;24;A34;A43;2424;A65;A75;4;A93;A101;4;A122;53;A152;2;A173;A201;1
0104600018;30;A30;A49;8072;A65;A72;2;A93;A101;3;A123;25;A152;3;A173;A201;1
0104600019;24;A32;A41;12579;A61;A75;4;A92;A101;2;A124;44;A153;1;A174;A201;2
0104600020;24;A32;A43;3430;A63;A75;3;A93;A101;2;A123;31;A152;1;A173;A201;1
0104600021;9;A34;A40;2134;A61;A73;4;A93;A101;4;A123;48;A152;3;A173;A201;1
0104600022;6;A32;A43;2647;A63;A73;2;A93;A101;3;A121;44;A151;1;A173;A201;1
0104600023;10;A34;A40;2241;A61;A72;1;A93;A101;3;A121;48;A151;2;A172;A202;1
0104600024;12;A34;A41;1804;A62;A72;3;A93;A101;4;A122;44;A152;1;A173;A201;1
0104600025;10;A34;A42;2069;A65;A73;2;A94;A101;1;A123;26;A152;2;A173;A202;1
0104600026;6;A32;A42;1374;A61;A73;1;A93;A101;2;A121;36;A152;1;A172;A201;1
0104600027;6;A30;A43;426;A61;A75;4;A94;A101;4;A123;39;A152;1;A172;A201;1
0104600028;12;A31;A43;409;A64;A73;3;A92;A101;3;A121;42;A151;2;A173;A201;1
0104600029;7;A32;A43;2415;A61;A73;3;A93;A103;2;A121;34;A152;1;A173;A201;1
0104600030;60;A33;A49;6836;A61;A75;3;A93;A101;4;A124;63;A152;2;A173;A201;2
0104600031;18;A32;A49;1913;A64;A72;3;A94;A101;3;A121;36;A152;1;A173;A201;1
0104600032;24;A32;A42;4020;A61;A73;2;A93;A101;2;A123;27;A152;1;A173;A201;1
0104600033;18;A32;A40;5866;A62;A73;2;A93;A101;2;A123;30;A152;2;A173;A201;1
0104600034;12;A34;A49;1264;A65;A75;4;A93;A101;4;A124;57;A151;1;A172;A201;1
0104600035;12;A32;A42;1474;A61;A72;4;A92;A101;1;A122;33;A152;1;A174;A201;1
0104600036;45;A34;A43;4746;A61;A72;4;A93;A101;2;A122;25;A152;2;A172;A201;2
0104600037;48;A34;A46;6110;A61;A73;1;A93;A101;3;A124;31;A153;1;A173;A201;1
0104600038;18;A32;A43;2100;A61;A73;4;A93;A102;2;A121;37;A152;1;A173;A201;2
0104600039;10;A32;A44;1225;A61;A73;2;A93;A101;2;A123;37;A152;1;A173;A201;1
0104600040;9;A32;A43;458;A61;A73;4;A93;A101;3;A121;24;A152;1;A173;A201;1
